code,name,provinceCode
5301,"昆明",53
5303,"曲靖",53
5304,"玉溪",53
5305,"保山",53
5306,"昭通",53
5307,"丽江",53
5308,"普洱",53
5309,"临沧",53
5323,"楚雄彝族自治州",53
5325,"红河哈尼族彝族自治州",53
5326,"文山壮族苗族自治州",53
5328,"西双版纳傣族自治州",53
5329,"大理白族自治州",53
5331,"德宏傣族景颇族自治州",53
5333,"怒江傈僳族自治州",53
5334,"迪庆藏族自治州",53
5401,"拉萨",54
5402,"日喀则",54
5403,"昌都",54
5404,"林芝",54
5405,"山南",54
5406,"那曲",54
5425,"阿里地区",54
6101,"西安",61
6102,"铜川",61
6103,"宝鸡",61
6104,"咸阳",61
6105,"渭南",61
6106,"延安",61
6107,"汉中",61
6108,"榆林",61
6109,"安康",61
6110,"商洛",61
6201,"兰州",62
6202,"嘉峪关",62
6203,"金昌",62
6204,"白银",62
6205,"天水",62
6206,"武威",62
6207,"张掖",62
6208,"平凉",62
6209,"酒泉",62
6210,"庆阳",62
6211,"定西",62
6212,"陇南",62
6229,"临夏回族自治州",62
6230,"甘南藏族自治州",62
6301,"西宁",63
6302,"海东",63
6322,"海北藏族自治州",63
6323,"黄南藏族自治州",63
6325,"海南藏族自治州",63
6326,"果洛藏族自治州",63
6327,"玉树藏族自治州",63
6328,"海西蒙古族藏族自治州",63
6401,"银川",64
6402,"石嘴山",64
6403,"吴忠",64
6404,"固原",64
6405,"中卫",64
6501,"乌鲁木齐",65
6502,"克拉玛依",65
6504,"吐鲁番",65
6505,"哈密",65
6523,"昌吉回族自治州",65
6527,"博尔塔拉蒙古自治州",65
6528,"巴音郭楞蒙古自治州",65
6529,"阿克苏地区",65
6530,"克孜勒苏柯尔克孜自治州",65
6531,"喀什地区",65
6532,"和田地区",65
6540,"伊犁哈萨克自治州",65
6542,"塔城地区",65
6543,"阿勒泰地区",65
6590,"自治区直辖县级行政区划",65
